sku,name,category,packaging_raw,order_options,recommended_order_qty,price_czk,points,source_row
30158HM,"Fluid na vlasy s arganovým olejem a aminokyselinami, 50 ml",Kosmetické přípravky TianDe->Péče o vlasy TianDe,1 / 150,1/150,150,348.0,11.7,131
20127HM,"De-expert!!! Posilující maska na vlasy Hadí olej , 500 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Masky na vlasy,1 / 12 / 24,1/12/24,24,248.0,9.9,133
20109HM,"AKCE březen - duben!  Balzám na vlasy na zpevnění vlasových kořenů s extraktem Ling Zhi, 220 g","Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série ""Linzhi""",1 / 24 / 48,1/24/48,48,182.0,6.9,135
20107,"AKCE březen-duben!!! Šampon pro posílení vlasů s extraktem Ling Zhi, 220 g","Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série ""Linzhi""",1 / 24 / 48,1/24/48,48,182.0,6.9,136
21309HM,"Balzám na vlasy Zlatý zázvor, 300 ml","Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série ""Zlatý zázvor""",1 / 1 / 1 / 48 / 48,1/1/1/48/48,48,269.0,10.3,138
21308,"Šampón na vlasy „Zlatý zázvor“, 300 ml","Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série ""Zlatý zázvor""",1 / 1 / 1 / 48 / 48,1/1/1/48/48,48,269.0,10.3,139
23402,"Maska-aktivátor růstu vlasů, 250 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Bio Rehab,1 / 48,1/48,48,278.0,10.3,141
23401HM,"Šampon - aktivátor růstu vlasů, 250 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Bio Rehab,1 / 1 / 1 / 48 / 48,1/1/1/48/48,48,278.0,10.3,142
23403,"Tonikum na podporu růstu vlasů, 50 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Bio Rehab,1 / 72,1/72,72,397.0,13.2,143
21316,"Balzám na poškozené vlasy, 500 g",Kosmetické přípravky TianDe->Péče o vlasy TianDe->Série Master Herb,1 / 1 / 1 / 1 / 12 / 36 / 36,1/1/1/1/12/36/36,36,254.0,10.0,145
